profile,protocol,runs,sessions,errors,startup_p50_ms,startup_p95_ms,e2e_p50_ms,e2e_p95_ms,jitter_p50_ms,throughput_kbps,stall_sec_per_min,stalled_pct,recovery_p50_ms
mobile-4g,moq,3,300,0,355,538,3148,5007,112,511,16.10,8.25,
mobile-3g,moq,3,300,0,620,860,4808,7312,205,207,42.98,26.33,
lossy,moq,3,300,0,338,521,2840,4679,57,680,8.88,6.70,
